Description,Address,Price(Rands),Bedrooms,Bathrooms,Toilets,Garage
Danville House,Mafikeng,850000,5,4.0,0,0
Stunning property close to the Palms Center!,Vanderbijlpark SE 7,1050000,4,2.0,2,2
Uninterrupted views,Yzerfontein,3175000,0,0.0,0,0
Glenwood - 2 Bedroom Flat,Glenwood,690000,2,1.0,1,1
Ground Floor NO Stairs,"Horison, 29Montague/2 Andries Bruyn",420000,1,1.0,1,0
Exclusive Mandate to Harcourts Zululand,Kwambonambi,1200000,3,2.0,2,0
An investment opportunity not to be missed.,Briardene,1850000,3,3.0,3,2
Spacious  4 bedroom home,Kenville,2900000,4,4.0,4,2
Secure Complex Living!,Kriel,950000,3,2.0,2,2
Investors Dream and First time bayers,"Moreleta Park, 18 Hesketh drive",650000,2,1.0,0,0
Sole mandate with a priced listed to go.....,Tsakane,300000,2,1.0,1,0
Prime Location in Luxurious Lifestyle Estate,"Kanonberg, 30 Magasyn",7250000,5,3.5,1,0
Ground Floor Beauty,Horison,530000,2,1.0,1,0
Semi open plan living in central Glenwood with lots to offer,Glenwood,2150000,4,2.0,2,4
Are You Ready To move in....?,Stretford,495000,3,2.0,2,1
Totally Private Simplex  with Large Level Garden,"Hillcrest, 11a/4 Garden Road",2125000,3,2.0,2,2
A stunning home that boats with modern finishes,New State Areas,1300000,3,3.0,3,2
A large family home,Dersley,900000,4,2.0,3,0
The Finest Address and the Best Location.,Waterkloof,10800000,5,4.0,3,0
Beautiful Brand New 172 M2 Home. No Transfer fee.,Sonneveld,1687000,3,2.0,2,2
Relocation...Holiday Home...Investment,Marina Martinique,1395000,2,2.0,2,0
3 Bedroom House in Langebaan Country / Golf Estate,"Langebaan Country Estate, 1044 Bruidegom Close",3400000,3,2.0,2,2
Newly Renovated! Beyond words!,Dowerglen,1850000,3,3.0,3,0
Good investment - Sandbaai - Hermanus,"Sandbaai, 25 Schneider Street",500000,0,0.0,0,0
Zoned Property Ready To Be Developed - Bryanston,Bryanston,13499000,0,0.0,0,0
House with ample possibilities for sale in Louis Trichardt,Louis Trichardt,3800000,4,3.5,0,0
Residential Development - Table View,Table View,1325000,2,1.0,0,0
Vacant Land - Colchester,Colchester,350000,0,0.0,0,0
"Location, Location, Location!! Four bedroom house for sale",Louis Trichardt,1690000,4,2.0,3,2
Opened up Vintage charm,"Glenwood, 156 Esther Roberts Rd",1450000,3,2.0,2,0
"Stand for sale in Sandbaai, Hermanus","Sandbaai, 126 De Villiers Street",780000,0,0.0,0,0
A jewel for sale in Louis Trichardt,Louis Trichardt,2350000,5,5.0,0,0
A hidden Gem in a lovely Crescent,Parklands,1530000,2,2.0,3,1
Solid Family Home in a Great Neighbourhood,Three Rivers East,1580000,3,2.0,3,0
I'm New On The Block!,Kriel,1370000,3,2.0,2,4
3 bedroom for sale in ezakheni,Ezakheni A,609000,3,1.0,1,0
Step-less Simplex in Mount Edgecombe,"Mount Edgecombe, 7 Hillhead Road",2450000,3,2.0,2,2
Modern Apartment in a popular Block,Umhlanga Ridge,1795000,2,1.0,1,1
1 bedroom penthouse ready for a new owner!,"Marshalltown, 802/14 Harrison Street",500000,1,1.0,0,0
Ideal start up!!,Geelhoutpark,590000,2,1.0,1,0
2 Bedroom Penthouse In Mashalltown!,"Marshalltown, 801/14 Harrison Street",1500000,2,2.0,0,0
Grab it now!,Tlhabane West,960000,3,2.0,2,1
"Modern living for students, young professionals or investor",Nieuw Muckleneuk,1485000,2,2.0,2,1
Spacious 3 Bedroom Family Home in Ravenswood,Ravenswood,1550000,3,2.0,2,2
Stunning 4 bedroom Home with a sparkling heated pool,Modder East,1372000,4,2.0,1,2
Oulike Twee (2) Slaapkamer Huis te Koop in Albertinia!,Albertinia,895000,2,1.0,1,0
Home in Bo dorp with a big yard,Bo Dorp,1060000,3,1.0,1,1
Beautifully Modern Chic and Secure,Ruyteplaats,17500000,5,6.0,6,2
"Wanting peace and tranquility, look no further.","Kloof, 26 Uplands Drive",3350000,4,2.5,3,3
"Increadible price, Reduced. Exceptional value. BARGAIN.",Brakpan North,345000,1,1.0,1,0
Cozy unit near Waterfall Mall,Cashan,899000,3,2.0,2,2
Penthouse Living!,Simbithi Eco Estate,3200000,4,2.5,3,2
Vacant Land / Plot for Sale in Kleinmond,"Kleinmond Central, 48 4th Street",480000,0,0.0,0,0
2 Houses and ample water for small scale farming,"Roodeplaat, Plot 229 Bosveldpark",1870000,2,1.0,1,0
Vacant Land / Plot for Sale in Kleinmond,"Kleinmond Central, 40 10th Avenue",470000,0,0.0,0,0
Newly renovated property with great modern finishes.,Springs Central,820000,4,1.0,4,2
Town house in Heiderand,Heiderand,1450000,3,2.0,2,1
Is urban living your lifestyle? Stunning Property for SALE!,"Blue Hills, 1700 Girth Street",1895000,4,2.0,3,2
CBD House,Mafikeng,2999000,5,3.0,0,0
Vacant Land in Hoekbaai  Vleesbaai,Vleesbaai,675000,0,0.0,0,0
Perfect Family Home,Sarepta,799000,2,1.0,0,0
3 Bedroom Home in Kraaifontein,Peerless Park East,1399000,3,1.0,0,0
Space Galore,Panorama,1795000,10,7.0,0,0
Stand in Whalerock Ridge,"Whale Rock, 9450 Diadem Street",850000,2,0.0,0,0
This One Is Not To Be Missed!,Kriel,980000,3,1.0,0,0
Immaculate Family House available in Montana,Montana Tuine,1450000,3,2.0,3,2
Versatile Property - Excellent Investment,"Faerie Glen, Leander 31",5995000,5,3.0,4,3
A Large family Home with extra income potential,Brakpan Central,1860000,10,5.0,4,0
Beautiful Interiors In This Magnificent View-Blessed Home,"San Michel, 16 Ruby Terrace",6995000,4,3.0,4,0
Affordale Property For Grabs,Stretford,420000,2,1.0,1,0
Calling all Garden Lovers,Modimolle,750000,3,2.0,3,2
Exceptional Family Home In Popular Suburb,Vanderbijlpark SW 5,1940000,5,3.0,3,2
Lovely Large Plot For Sale In Albertinia!,Albertinia,550000,0,0.0,0,0
Perfect Townhouse for Sale in Vaalpark!!,Vaalpark,834000,2,1.0,2,1
Warm Family Home!,"Kriel, 35 Starling Street",930000,3,1.0,2,0
Calling all investors! First time buyers! Scaling down?,Morning Hill,699000,1,1.0,1,0
Vacant Land/Plot for Sale in Blue Lagoon,"Blue Lagoon, 39 Coral road",495000,0,0.0,0,0
"Bidding to start from R1,500,000!!! Live Auction!","Rosetta, Portion 38 Vaale Kop",2400000,0,0.0,0,0
Retirement living you can afford,Oakglen,1495000,2,1.0,1,0
No Place Like Home,Wavecrest,1930000,3,3.0,3,2
Great Size Family Home at a giveaway price in SE 2,Vanderbijlpark SE 2,1390000,3,2.0,2,3
Income generating 6 bedroom house,Hillcrest Park,3850000,6,4.0,2,0
Two Words...See It! A Most Tempting Buy!,Mamelodi East,830000,3,1.0,0,0
Perfect for first time buyers!,Waterval East,650000,3,2.0,0,0
Sovereign Parks Home,"Bedford Gardens, 6/27 Forest Park, Sovereign Parks, Smith Road",5000000,4,4.0,5,2
Newly built home for your family!,Osizweni,595000,3,1.0,1,2
Beautifully renovated GEM!,"Ravenswood, 29/29 Sanford Glen",1610000,4,3.0,3,2
Stunning family home in Three Rivers !!,Three Rivers,1250000,3,1.0,3,0
Exclusive living in a secure estate on the Vaalriver,Parys,3500000,4,2.0,2,2
Priced to sell!!  3 Bedroom Townhouse in a well-run complex,"Birchleigh, 3 Bosleigh/2 Tiger Road",927500,3,1.0,1,1
Bargain Buy....,"Serengeti Lifestyle Estate, 9 Sunset Boulevard",5893800,4,3.0,3,3
Three bedroom house with cottage near river,Parys,1010000,3,3.0,3,2
Development in Evaton West,Evaton West,445000,2,1.0,1,0
Vacant Stand in Bathurst,Bathurst,700000,0,0.0,0,0
Vacant Land / Plot for Sale in Kleinmond,"Kleinmond Central, 50 4th Street",405000,0,0.0,0,0
Dream it Own it with No transfer costs,Rosslyn,852000,3,2.0,0,0
"Large vacant stand in upper class security estate, Bendor.",Sterpark,1630000,0,0.0,0,0
"Stunning 4 Bedroom, 3 bathroom family home -Rynfield Estates",Rynfield,4350000,4,3.0,3,4
"Spacious 3-bedroom family home, big yard, Fauna Park",Fauna Park,1940000,3,2.0,3,2
Penthouse South Beach with endless Ocean Views,Durban Central,1495000,2,1.0,2,0
2 Beds Glenwood  Apartment with Garden,Bulwer,1290000,2,1.0,1,1
"Spacious Pet Friendly 2 Bedrooms, 2 Baths","Mayberry Park, 1543/1 Yellowwood Street",619000,2,2.0,2,0
Vacant Land / Plot for Sale in Kleinmond,"Kleinmond Central, 38 10th Avenue",421000,0,0.0,0,0
"Spacious 2 Bedrooms, 1 Bath","Lenasia South, 20 Jacana Street",570000,2,1.0,1,0
"Vacant stand in upper class security estate, Bendor.",Bendor,1200000,0,0.0,0,0
Paternoster Private Estate,"Paternoster, 0 0",1495000,0,0.0,0,0
Bring Granny Along !!!!,Vanderbijlpark CW 2,885000,3,2.0,3,2
Belle Vie Self Catering Gem for sale,"Britannia Bay, 53 Ray Crescent",1395000,2,2.0,2,0
Plot and plan -Sandypoint Beach Estate,"Sandy Point, 125 Beach Road",2295000,0,0.0,0,0
sought after complex,Lakefield,925000,2,2.0,0,0
Large Family Home For Sale in Yzerfontein,"Yzerfontein, 10 Grysbok Avenue",2650000,5,3.0,4,2
"Bidding to start from R1,750,000!!! Live Auction!","Sandbaai, 84 Piet Retief Crescent", 1750000,4,3.0,3,2
Occupying a peaceful street position,Vanderbijlpark SE 2,1285000,4,3.0,3,2
"Modern spacious double story home for sale. Up class estate,",Bendor,3280000,3,2.0,3,2
"Security Village, Stunning Family Home","Die Wilgers, 453 Kipa Street",2200000,4,2.0,3,0
"3 Bedroom and study in Zevenwacht Country Estate, KuilsRiver",Zevenwacht Country Estate,5495000,3,3.0,3,2
"Beautiful corner plot for sale in Vermont, Hermanus","Vermont, 2 Limpet Street",1195000,0,0.0,0,0
Bachelor Flat for Sale in Kleinmond,"Kleinmond Central, 5/68 Main Road",420000,1,1.0,0,0
Is Every family to own a stylish Home,Chantelle,1590000,3,2.0,2,2
Townhouse for sale in Dayanglen,Dayanglen,680000,2,1.0,0,0
Privacy at its best!,"Amber Ridge, 138/11 Tamboti Lane",3500000,2,2.0,0,0
Brand New Home in a Development,Klerksoord,730000,2,1.0,1,0
Perfect for an extended family,Dalpark,2100000,3,2.0,2,0
A family home with granny's flat,Daveyton,850000,6,3.0,2,0
Are you a 1st time buyer/investor?Then Cederberg is for you!,"Kuils River South, 125 Bottelary Road",1100000,2,1.0,0,0
House with Flatlet in Thornton,Thornton,2295000,5,4.0,4,0
Living the good life.,St Francis On Sea Phase I I,3800000,4,5.0,4,0
Free Standing House in a sought after location!!,"Country View, 29 Sneeugras",1450000,3,2.0,2,2
Bulwer      -  3 Bedroom House,Bulwer,1875000,3,1.0,1,0
Unique Home In Agulhas,Agulhas,2295000,2,2.0,2,1
Located Centrally,Edenvale Central,620000,2,1.0,0,0
Spacious well-situated family home with two flatlets,Amanzimtoti,1800000,5,4.0,1,2
Priced to go - don't miss this one.,Moreleta Park,1395000,3,2.5,2,2
Brand New Houses in Akasia,"Chantelle, 01 Chantelle",1390000,3,2.0,2,2
"Neat, Sassy, Sweet and simply Gorgeous!!!",Parklands North,1649000,2,1.0,1,1
Proudly positioned on 2 stands,Parys,1285000,3,1.0,1,1
"A beautiful home, ideal for a family!",Utrecht,1285000,4,2.0,3,2
Live By The Sea,Kidds Beach,1395000,3,2.0,2,1
Tidy intimate home,"Marina Da Gama, 35 Battleridge",2495000,3,2.0,2,2
Come home with love,Springs Central,900000,3,1.0,2,2
"Spacious, Safe and Affordable.","Florida, 24Mandele/1 Ivan Street",350000,1,1.0,1,0
"Own a stunning, prestigious home with beautiful sea","Umhlanga Rocks, 22 Hilken Drive",5950000,4,3.0,3,2
South entry north facing Country style home,Val de Vie Estate,8600000,4,3.0,3,0
Close to the College,Barry Hertzog Park,750000,3,2.0,1,1
For The Young At Heart,Powerville,670000,3,1.0,0,0
Duplex in CE area,Vanderbijlpark CE 4,810000,3,1.0,2,1
"Plot For Sale in Tarka Mossel Bay - R200,000",Mossel Bay Central,185000,0,0.0,0,0
Two bedroom new development townhouse in Benoni,"Crystal Park, 156/Orchards Orchards",579000,2,1.0,0,0
Stunning Home! Tranquil Living!,The Coves,1650000,3,2.0,1,2
"Today's Buy - Tomorrow's Security, Search No More!",Whale Rock Heights,850000,0,0.0,0,0
Exclusive Pet Friendly Complex,"Umhlanga Rocks, 37 Marine Drive, Unit 1 Jabulani",8500000,4,3.0,3,2
Spacious Flat in popular Beacon Hill,Clarendon,870000,3,1.0,3,0
Vacant Land With Potential For Development,Bryanston,7150000,0,0.0,0,0
"Family Friendly, 3 Bedrooms, Cosy complex.","Florida, 46DolphinP/1 1st Avenue",530000,3,1.0,1,0
A great business opportunity!,Barry Hertzog Park,1300000,13,14.0,1,0
1st Floor Flat in Duvha Park,Duvha Park,450000,2,1.0,1,0
As pretty as a picture,Evaton West,800000,3,2.0,1,0
Countryside Lifestyle .... in the City!,"Sandown, 127 Sandown 55, Willowbrook Place",1699999,3,2.0,1,0
3 bed home with Flat,Willow Park,,3,3.0,3,2
This Property For Grabs...,Tshepiso,300000,2,1.0,0,0
Apartment for sale in Pretoria Gardens,Pretoria Gardens,585000,2,1.0,0,0
Luxury Artist home with Enchanting Garden,"Sunward Park, 6 Taurus",2950000,4,3.0,3,2
Ground Floor Unit With Private Garden,"Roodekrans, 11ViaConDi/9A Ouklip Road",775000,3,2.0,2,0
3 Bed Family Home or 2 Bed Entertainer's Dream,"Barbeque Downs, 48/1 St Aidan, Dickens Road",1275000,3,2.0,2,0
Peak Position in Admiral's Kloof,"Admirals Kloof, 31 Barnard Street",1750000,0,0.0,0,0
Elegant Duplex Super Stylish,"Helderkruin, 21Montelim/873 Quail Street",1780000,3,2.0,2,2
What dreams are made of,Vanderbijlpark CW 2,690000,3,1.0,1,1
Excellent Opportunity With Access Off Dale Road,"President Park AH, 97 Brand Road",2850000,5,2.0,1,0
"Newly Built Cottage for Sale in Fisherhaven, Hermanus","Fisherhaven, 17 School Road",1250000,2,2.0,2,0
Modern architecturally designed home for sale. Up-class secu,Bendor,2190000,3,2.0,3,2
"A design for today, tomorrow and beyond",Parys,1275000,3,1.0,1,1
Vacant Land boarders the Golf Course! with a Borehole,Kwambonambi,545000,0,0.0,0,0
Prime Land available now in President Park,"President Park AH, 95 Brand Road",1700000,0,0.0,0,0
3 Bedroom house in Geelhoutpark,Geelhoutpark,1090000,3,2.0,2,1
"The Position Is Right, The Price Is Right","Creswell Park, 11 Roode Road",1150000,3,2.0,4,0
Ideal Lock Up & Go  Opposite Popular Hobie Beach,"Summerstrand, 305 Marine Towers, 17 Marine Drive",699000,1,1.0,1,0
Exclusive Sole-mandate! 4 townhouses for sale in Complex,Louis Trichardt,6500000,4,2.0,2,1
Plot and Plan Home in Popular Lifestyle Estate,"Kelderhof Country Village, 3110/36 Station Road",2250000,3,2.5,3,1
Family home situated in quiet area,Parys,860000,3,2.0,3,2
Entertainers Dream,"Schuinshoogte, 190 Dakensberg",4150000 ,6,4.0,6,9
68 Hectares of Farm land on East Coast,Kwelera,3500000 ,0,0.0,0,0
4 Bedroom House For Sale in Noordhoek,"Noordhaven, 18 Kakapo Close",9950000,4,4.5,0,0
Your search ends here!,Mogwase,795000,4,2.0,0,0
Ultimate Coastal Living,Ballito Central,4500000,3,5.0,5,2
Investment opportunity just waiting for you!,Oos Einde,1738000,4,2.5,5,0
Prime Location!,Kriel,1325000,3,1.0,1,1
Two houses that needs TLC,"Rayton, 48 South street",750000,6,2.0,3,1
Stylish 3 Bedroom home soon to be build!,Monte Christo,3620000,3,2.0,2,2
Farmstead on the East Coast,Kwelera,4500000 ,0,0.0,0,0
3 Bedroom Home in Eldoraigne,Eldoraigne,1950000,3,2.0,2,2
Blue Bay Beauty!,Suiderstrand,1065000,0,0.0,0,0
Townhouse in a popular complex. Off the Grid,Parys,1180000,2,2.0,2,2
Farm with access to river - Kwelera,Kwelera,2500000 ,0,0.0,0,0
Farm land for sale with access to river - Kwelera,Kwelera,1500000 ,0,0.0,0,0
A house for sale in Albertsdal,"Albertsdal, 21 Bandolierskop str",1280000,3,1.0,1,0
3 Bedroom Family home for sale in Monte Christo.,Monte Christo,3520000,3,2.0,2,2
Secure Starter Home!,"Stellenbosch Central, 9 Swartberg",1750000,3,2.0,3,1
A  New  Development  -  Platinum Park Estate Klerksoord,"Klerksoord, 192 Magenta",730000,2,1.0,1,0
Lifestyle Living,Nelspruit,3370000,3,3.0,3,2
Exquisite Home in a quiet cul de sac on a large plot,"Bulwer, 17 Dronfield Road",1800000,3,2.0,2,0
Affordable yours,Vanderbijlpark CW 2,700000,3,1.0,0,0
Vacant Land in a Secure Upmarket Estate of Port Alfred.,"Port Alfred, 2 High Level Road",350000,0,0.0,0,0
"Vacant stand in Willowbrook, right behind Copperleaf","Knoppieslaagte, 1642 Bessera",750000,0,0.0,0,0
Brand new Apartments in Secure Lifestyle Estate,"Celtisdal, 20/23 Philirene Road",923000,2,1.0,0,0
Enviable location in prime position,Vincent Gardens,3600000,7,5.0,5,4
A half build house for sale in golden garden,Vanderbijlpark Central,330000,2,1.0,0,0
"Castleview 3 Beds, 2 Baths",Castleview,740000,3,2.0,2,0
161 square meter. Investors Dream,"Malvern, 91/40 Coronation Road",899000,3,2.0,2,0
Prime Spot,St Francis On Sea Phase I I,495000,0,0.0,0,0
Swiss Charm in Hilton,"Hilton, 21 Panorama Road",1495000,3,2.0,2,2
This Home Is Sure To Go Fast!!!,Kwa Thema,550000,2,1.0,0,0
"Land for Sale,Engonyameni",Engonyameni,70000,0,0.0,0,0
Place to hang your heart.,Parys,1080000,4,2.0,2,2
Pet friendly townhouse for sale in Beyers Park.,Beyers Park,700000,2,1.0,1,0
Vacant Plot in the Popular Laguna Sand Estate,"Laguna Sands, 9 Kersbos Crescent",495000,0,0.0,0,0
Stunning 3 Bedroom House,"Leisure Bay Estate, 94/783 Bayside Street",2650000,3,2.0,3,2
Stunning 3 Bedroom House,"Leisure Bay Estate, 96/783 Bayside Street",2650000,3,2.0,3,2
3 Bedroom Family Home in Stompneus Bay,"Stompneus Bay, 11 Stompneus Road",1395000,3,2.5,3,2
Vacant Land / Plot for Sale in Kleinmond Central,"Kleinmond Central, 33 10th Avenue",395000,0,0.0,0,0
Pristine three bedroom duplex in Eldo Ridge,"Eldo View, 6703 Glendale Crescent",2000000,3,2.5,3,2
The Perfect Business Opportunity,Kriel,2700000,8,8.0,3,0
One  For  The  Family,"Wolmer, 422 Veldkornet Roos",1200000,3,2.0,2,0
Unlimited Potential!!,St Francis Bay Village,3210000,7,7.0,7,0
Brand new development in Kuilsriver,"Highbury, 50 Alphen",789000,2,1.0,0,0
Entertainers Delight With River View!,"Stilbaai Wes, 6 Klein Vredenburg",2990000,5,2.5,3,1
Walk to the beach in 5 minutes apartment with 24/7 hours sec,South Beach,280000,1,1.0,1,1
House for Sale in Klein Berlyn,Klein Berlyn,2250000,3,2.0,1,0
A well looked after 1 bed apartment on South Beach,South Beach,370000,1,1.0,1,1
Spacious Family Home with a Granny Flat,Kildare,1530000,4,2.0,1,0
Two 3 Bedroom cottages on one property,"Park Hill, 169 Belverdere Road",2000000,3,1.0,0,0
5 Bedroom House in Rayton,"Rayton, 42 Jenner street",1480500,8,3.0,3,2
Impeccable Double Storey Home With Gorgeous View & A Flatlet,"Noordheuwel, 40 Olivier Street",3490000,4,2.5,3,2
Live the dream,Vanderbijlpark CW 3,590000,2,1.0,1,1
Timeless style,Vanderbijlpark CW 3,590000,2,1.0,1,1
"Secure, Spacious, Private, Stunning!!",Die Wilgers,2295000,3,2.0,4,2
One of the best positions Erinvale has to offer! Majestic...,"Erinvale Golf Estate, 11 Osprey Lane",10950000,3,3.0,4,0
Development Opportunity in Popular Kelderhof Country Village,"Kelderhof Country Village, 50 Station Road",900000,0,0.0,0,0
2 Bedroom Touwhouse near Witbank High,Witbank Ext 5,620000,2,1.0,1,1
"Excellent designed, well build, Immaculate","Stilbaai Wes, 13 Klapperbos Crescent",3500000,4,5.0,5,2
Flat With Great Potential,North End,500000,2,1.0,1,1
Over 100mÂ² With Double Lock Up Garage,"Roodekrans, 37Umfolosi/1167 Umfolosie Road",800000,3,2.0,2,2
Epitome of elegance,"Wellington North, 42 B Bain Street",3570000,2,3.0,4,0
Big Investment Opportunity,Brakpan Central,998000,3,2.0,2,1
Lock up and go!,Ravenswood,550000,2,1.0,0,0
Spacious family home with a large backyard,Hazelpark,1350000,3,1.0,1,1
New-Luxurious and New Townhouse...Magalieskruin,Magalieskruin,3044300,3,3.0,4,2
Home with a view....Magalieskruin,Magalieskruin,2614785,3,3.0,4,2
Gorgeous House in quiet suburb,Protea Park,1899000,3,1.0,2,1
House With Two Flats,Brakpan Central,1430000,3,2.0,2,1
Lock up and go. . . . /  Good security,Pioneer Park,540000,1,1.0,2,0
The Gates of Hilton,"Hilton, 27/1 The Gates, Hilton College Rd",2495000,0,0.0,0,0
This is THE Position,Santareme,3500000,4,3.0,4,2
A place to call home!!,Kildare,997000,3,2.0,0,0
Top Billing Worthy with Views of the Water,Bankenveld,19000000,5,5.0,6,4
Life's good when you have it all at your fingertips!,"Kyalami, 237 The Whisken Whisken Avenue",1300000,2,2.0,2,0
Privacy and views at its best!,"Amber Valley, 264/11 Peregrine Lane",3450000,2,2.0,2,2
Vacant Land / Plot for Sale in Kleinmond,"Kleinmond Central, 35 10th Avenue",440000,0,0.0,0,0
"Spacious lock up and go unit in Denlee,  Germiston","Denlee, 204 Everglade Gardens,  2 Attwell street",850000,3,2.0,2,1
"Celebrate Living, in this Home",Brettenwood Coastal Estate,8995000,4,4.5,5,2
6 Bedroomed Home with Commercial Usage,Hughenden,6495000,6,6.0,7,2
Commercial Property in Southernwood,Southernwood,2150000,4,1.0,1,0
2 Bedroom Ground floor townhouse,Kempton Park Central,415000,2,1.0,0,0
Welcome Home,"Beyers Park, 46/1 North Road",870000,3,1.0,1,0
Stunning Sea Views,Cintsa East,950000,0,0.0,0,0
"Ridgeworth R3,250,000","Ridgeworth, 26 Zinnia Rd",3150000,6,6.0,0,0
Something really special,"Umhlanga Rocks, 5 Weaver Crescent, 23 Seaford Park",5450000,2,2.0,2,2
An Immaculate Home in a Well Located Area,"Country View, 5/10 Sneeugras Crescent",1995000,4,3.0,3,2
A house ready to be turned into a home!,Derby,710000,3,2.0,0,0
Three Bedroom Family Home on West Bank in Port Alfred,"Port Alfred, 8 Hancorn Lane",1420000,3,2.0,3,2
Sable Hills Waterfront Estate,"Sable Hills, 70/2 Kudu Road",950000,0,0.0,0,0
Modern with Excellent Security,"Pimville, 9740/40 Mndoni Street",1150000,3,2.0,2,0
Family Home for sale in Lotus gardens with ensuite,"Lotus Gardens, 11 jalapeno",950000,3,2.0,2,0
"3 Bedroom House, Diaz Beach","Diaz Beach, 47 karveel singel",2880000,3,2.0,2,0
5 bedroom Family Home in Lonehill,"Lonehill, 4 Sugnet Lane",3095000,5,4.0,2,0
Lovely Family Home for Sale!,"Morningside, 6/60 Pegasus Road",5950000,4,3.0,2,0
Your perfect family home,Dalview,1395000,3,2.0,2,2
Perfect Stand!!!,"The Coves, 23 Heron Cove",1500000,0,0.0,0,0
Vacant land for sale in Langebaan Country Estate,"Langebaan Country Estate, 1350/38 Vogelsanck Street",1500000,0,0.0,0,0
Best Value For Your Money,"Goudrand, 49 Enoch Sontonga Street",350000,2,1.0,1,0
Beautiful 5 Bedroom Family Home For Sale In Bonaero Park.,Bonaero Park,1570000,5,2.0,2,2
"Immaculate Two Beddroom , Two Bathroom Penthouse Apartment","Point Waterfront, 14 TimeBall Boulevard",3200000,2,2.0,2,0
Flat in Emfuleni golf estate,Vanderbijlpark SE 3,860000,2,2.0,2,0
Free Standing Townhouse in Tasbet Park,Tasbet Park,740000,3,2.0,2,0
A gem that could be yours!,"Morehill, 7A/7 Barbara Avenue",3000000,4,2.0,3,2
Stunning Sea Views ! Build your dream home,"Tinley Manor, 7/5 Ocean View",1595000,0,0.0,0,0
180 Degree sea facing property,"Bluff, 141 Marine Dr",4200000,4,3.0,0,0
Secure Estate Living,Reyno Ridge,510000,2,1.0,1,0
Lock Up and go in the heart of Rustenburg!,Rustenburg Central,350000,1,1.0,0,0
Very Neat Family Home,Minnebron,990000,3,1.0,0,0
3 Bedroom Home for sale in Hartland Lifestyle Estate!,Hartland Lifestyle Estate,2310000,3,2.0,3,0
Newly Renovated Apartment,Brenthurst,650000,2,1.0,0,0
Beautiful Family Home In A New Side Of Witpoortjie,"Witpoortjie, 19 Echo Street",850000,3,2.0,2,0
Buy of A Lifetime!!,Hospitaalpark,1570000,5,2.0,2,0
